id,title,description,category,subcategory,priority,status,location,latitude,longitude,people_affected,likes_count,comments_count,created_at,updated_at
10a0e792-e4e6-47e2-b957-a48593dd56a9,Damaged classroom roof in Buea Town school,Damaged classroom roof in Buea Town school. This poses a risk to children and elderly people in the area.,Education,Classroom damage,medium,solved,Buea Town,4.15902,9.25345,89,3,0,2026-07-25 06:00:00,2026-07-28 06:00:00
eb7d8793-24df-4a6d-96b9-459694636b4e,No night patrol in Sandpit lately,No night patrol in Sandpit lately. Several neighbors have raised the same concern.,Security,No security patrol,medium,reported,Sandpit,4.15048,9.26446,359,7,1,2026-08-14 06:00:00,2026-08-17 06:00:00
a5b715f3-2563-4649-9124-70c45198ce58,Illegal tree felling near Sandpit,Illegal tree felling near Sandpit. This poses a risk to children and elderly people in the area.,Environment,Deforestation,low,solved,Sandpit,4.15417,9.27632,50,1,0,2026-07-11 06:00:00,2026-07-27 06:00:00
55daeb7d-1593-4fe3-9a5c-83b312783ad5,Missing street signage near Great Soppo,Missing street signage near Great Soppo. This has been affecting daily life for residents nearby.,Security,Broken street signage,low,solved,Great Soppo,4.16871,9.27406,64,3,0,2026-08-06 02:00:00,2026-08-08 02:00:00
ff472161-fc8f-4252-90f0-d2b29d0bdfaa,River near Bali polluted by waste,River near Bali polluted by waste. This poses a risk to children and elderly people in the area.,Environment,River pollution,medium,reported,Bali,5.89914,10.00204,99,4,1,2026-08-15 03:00:00,2026-08-18 03:00:00
71cfe174-1c05-4972-be85-f8c0a1c8d591,Footbridge collapsed near Bamenda City Center,Footbridge collapsed near Bamenda City Center. This has been affecting daily life for residents nearby.,Infrastructure,Collapsed footbridge,medium,reported,Bamenda City Center,5.96889,10.14948,218,7,2,2026-08-14 01:00:00,2026-08-16 01:00:00
acaed4af-ceaf-48a8-a88a-f9e505213a94,Public building in disrepair in Bali,Public building in disrepair in Bali. It has gotten worse over the past few weeks.,Infrastructure,Damaged public building,low,solved,Bali,5.89622,10.00887,65,4,1,2026-07-30 20:00:00,2026-08-17 20:00:00
e3828221-1746-4370-b2e8-c6741cc9a685,Streetlights not working in Muea,Streetlights not working in Muea. It has gotten worse over the past few weeks.,Electricity,Streetlight out,low,solved,Muea,4.11557,9.23831,40,1,0,2026-07-24 17:00:00,2026-08-02 17:00:00
f6b0c19c-6cb5-4dd4-b168-b8afac1234db,Road erosion getting worse near Molyko,Road erosion getting worse near Molyko. We would appreciate this being looked into soon.,Roads,Erosion damage,low,reported,Molyko,4.14969,9.2852,133,3,0,2026-08-09 02:00:00,2026-08-12 02:00:00
7bb10362-70a0-4e0f-8578-f28c90cb6410,Missing street signage near Ntarikon,Missing street signage near Ntarikon. It has gotten worse over the past few weeks.,Security,Broken street signage,low,solved,Ntarikon,5.96663,10.15601,43,1,0,2026-08-04 10:00:00,2026-08-06 10:00:00
